chain_id,nparticles,dim,scale,eta,alpha,energy,std_error,variance,scaled_energy,scaled_std_error,scaled_variance,accept_rate,nsamples,total_cycles,warmup_cycles,tuning_cycles,optimize_cycles
8,1,3,1.2100000000000002,0.01,0.2,2.1560937668099887,0.0324335954409517,1.7930471587262504,2.1560937668099887,0.0324335954409517,1.7930471587262504,0.42315,20000,70000,70000,10000,0
9,1,3,1.2100000000000002,0.01,0.2,2.133209518749855,0.0338163615572782,1.8058298566201234,2.133209518749855,0.0338163615572782,1.8058298566201234,0.4308,20000,70000,70000,10000,0
10,1,3,1.2100000000000002,0.01,0.2,2.22272504795096,0.0356750117837837,1.9215438574644068,2.22272504795096,0.0356750117837837,1.9215438574644068,0.4319,20000,70000,70000,10000,0
11,1,3,1.2100000000000002,0.01,0.2,2.1724444410384254,0.03803260443584301,1.9152759052015282,2.1724444410384254,0.03803260443584301,1.9152759052015282,0.4331,20000,70000,70000,10000,0
12,1,3,1.2100000000000002,0.01,0.2,2.2114859141265857,0.03359816255364808,1.939217407075466,2.2114859141265857,0.03359816255364808,1.939217407075466,0.4372,20000,70000,70000,10000,0
13,1,3,1.2100000000000002,0.01,0.2,2.1282154523818817,0.033965420675574357,1.8745510571790538,2.1282154523818817,0.033965420675574357,1.8745510571790538,0.4251,20000,70000,70000,10000,0
14,1,3,1.2100000000000002,0.01,0.2,2.1967694241563076,0.034494428290447125,1.9154582283522572,2.1967694241563076,0.034494428290447125,1.9154582283522572,0.43865,20000,70000,70000,10000,0
15,1,3,1.3310000000000004,0.01,0.2,2.168450401000843,0.030551348065260202,1.7069476344217538,2.168450401000843,0.030551348065260202,1.7069476344217538,0.40025,20000,74000,74000,14000,0
16,1,3,1.2100000000000002,0.01,0.2,2.1971575793061593,0.034558683306910275,1.9146514100658427,2.1971575793061593,0.034558683306910275,1.9146514100658427,0.4349,20000,70000,70000,10000,0
1,1,3,1.1,0.01,0.30000000000000004,1.7074442429655354,0.018109148370101042,0.5119754058453059,1.7074442429655354,0.018109148370101042,0.5119754058453059,0.3888,20000,68000,68000,8000,0
2,1,3,1.0,0.01,0.30000000000000004,1.7141553922537485,0.020064138558659836,0.5225816547489135,1.7141553922537485,0.020064138558659836,0.5225816547489135,0.43175,20000,66000,66000,6000,0
3,1,3,1.0,0.01,0.30000000000000004,1.6864107244600597,0.017844718106103767,0.4686359538071718,1.6864107244600597,0.017844718106103767,0.4686359538071718,0.42625,20000,66000,66000,6000,0
4,1,3,1.0,0.01,0.30000000000000004,1.717399701995369,0.019154797251712038,0.5115975697176003,1.717399701995369,0.019154797251712038,0.5115975697176003,0.42865,20000,66000,66000,6000,0
5,1,3,1.0,0.01,0.30000000000000004,1.693937559679316,0.018495697287503127,0.47386348624402386,1.693937559679316,0.018495697287503127,0.47386348624402386,0.42325,20000,66000,66000,6000,0
6,1,3,1.1,0.01,0.30000000000000004,1.6993706374409856,0.017571611901291757,0.4643982940073301,1.6993706374409856,0.017571611901291757,0.4643982940073301,0.38795,20000,70000,70000,10000,0
7,1,3,1.1,0.01,0.30000000000000004,1.6856552384037444,0.01546052493941239,0.43466397902303955,1.6856552384037444,0.01546052493941239,0.43466397902303955,0.39395,20000,72000,72000,12000,0
8,1,3,1.0,0.01,0.30000000000000004,1.706692258130165,0.016211371327017887,0.4757144164196312,1.706692258130165,0.016211371327017887,0.4757144164196312,0.4258,20000,66000,66000,6000,0
9,1,3,1.0,0.01,0.30000000000000004,1.7209554359440986,0.024591568473038367,0.5043134134528842,1.7209554359440986,0.024591568473038367,0.5043134134528842,0.42785,20000,66000,66000,6000,0
10,1,3,1.0,0.01,0.30000000000000004,1.7015156955676651,0.0168595025225605,0.46748465857165034,1.7015156955676651,0.0168595025225605,0.46748465857165034,0.43305,20000,66000,66000,6000,0
11,1,3,1.0,0.01,0.30000000000000004,1.705042051830495,0.01909397451006046,0.5006840565024042,1.705042051830495,0.01909397451006046,0.5006840565024042,0.42935,20000,66000,66000,6000,0
12,1,3,1.0,0.01,0.30000000000000004,1.7100719545642034,0.017140122306389192,0.4514385289291001,1.7100719545642034,0.017140122306389192,0.4514385289291001,0.42595,20000,66000,66000,6000,0
13,1,3,1.0,0.01,0.30000000000000004,1.709377776424374,0.017721353238247674,0.49338714565842867,1.709377776424374,0.017721353238247674,0.49338714565842867,0.42795,20000,66000,66000,6000,0
14,1,3,1.0,0.01,0.30000000000000004,1.6856994487293229,0.01631808276983242,0.45243821432152,1.6856994487293229,0.01631808276983242,0.45243821432152,0.42615,20000,66000,66000,6000,0
15,1,3,1.1,0.01,0.30000000000000004,1.6945670715903884,0.01668478090379976,0.4709787141919861,1.6945670715903884,0.01668478090379976,0.4709787141919861,0.3812,20000,68000,68000,8000,0
