chain_id,nparticles,dim,scale,eta,alpha,energy,std_error,variance,scaled_energy,scaled_std_error,scaled_variance,accept_rate,nsamples,total_cycles,warmup_cycles,tuning_cycles,optimize_cycles
2,1,3,1.3310000000000004,0.01,0.2,2.1910618310343573,0.03349611705542316,1.9141978688728125,2.1910618310343573,0.03349611705542316,1.9141978688728125,0.38925,20000,76000,76000,16000,0
3,1,3,1.2100000000000002,0.01,0.2,2.203592945369194,0.03725689434788689,1.9022714558074156,2.203592945369194,0.03725689434788689,1.9022714558074156,0.43275,20000,70000,70000,10000,0
4,1,3,1.2100000000000002,0.01,0.2,2.263482293136825,0.036689980227845094,2.064506597654094,2.263482293136825,0.036689980227845094,2.064506597654094,0.4378,20000,70000,70000,10000,0
5,1,3,1.2100000000000002,0.01,0.2,2.139141606148633,0.03237570482277411,1.8033017387686607,2.139141606148633,0.03237570482277411,1.8033017387686607,0.4392,20000,70000,70000,10000,0
6,1,3,1.3310000000000004,0.01,0.2,2.2178400030946572,0.03524933640885349,1.9254662670411973,2.2178400030946572,0.03524933640885349,1.9254662670411973,0.38875,20000,76000,76000,16000,0
7,1,3,1.2100000000000002,0.01,0.2,2.1813393659527947,0.03597924282347806,1.8248947308584818,2.1813393659527947,0.03597924282347806,1.8248947308584818,0.4371,20000,70000,70000,10000,0
8,1,3,1.3310000000000004,0.01,0.2,2.1262065207572114,0.03197343552898104,1.6374368391397578,2.1262065207572114,0.03197343552898104,1.6374368391397578,0.39785,20000,76000,76000,16000,0
9,1,3,1.2100000000000002,0.01,0.2,2.205858192086188,0.033627829310928795,1.868244909416891,2.205858192086188,0.033627829310928795,1.868244909416891,0.4323,20000,70000,70000,10000,0
10,1,3,1.3310000000000004,0.01,0.2,2.1708181305685015,0.03282883872992981,1.7575226813168205,2.1708181305685015,0.03282883872992981,1.7575226813168205,0.39855,20000,74000,74000,14000,0
11,1,3,1.2100000000000002,0.01,0.2,2.2007917985301693,0.0344306609542738,1.840238099381148,2.2007917985301693,0.0344306609542738,1.840238099381148,0.43645,20000,70000,70000,10000,0
12,1,3,1.2100000000000002,0.01,0.2,2.2027252869443683,0.035902655858008975,1.902355703049663,2.2027252869443683,0.035902655858008975,1.902355703049663,0.43955,20000,70000,70000,10000,0
13,1,3,1.3310000000000004,0.01,0.2,2.190551608536845,0.030128884018073464,1.797372662242437,2.190551608536845,0.030128884018073464,1.797372662242437,0.38695,20000,76000,76000,16000,0
14,1,3,1.2100000000000002,0.01,0.2,2.1543520041726554,0.030482768161103013,1.7307268955562831,2.1543520041726554,0.030482768161103013,1.7307268955562831,0.42795,20000,70000,70000,10000,0
15,1,3,1.2100000000000002,0.01,0.2,2.1167498310698685,0.03294790407417094,1.6853781949406166,2.1167498310698685,0.03294790407417094,1.6853781949406166,0.429,20000,70000,70000,10000,0
16,1,3,1.3310000000000004,0.01,0.2,2.1742914716490644,0.03187303300771968,1.7896662795970073,2.1742914716490644,0.03187303300771968,1.7896662795970073,0.398,20000,72000,72000,12000,0
1,1,3,1.0,0.01,0.30000000000000004,1.6990491067548428,0.017694338641124702,0.4855414030318981,1.6990491067548428,0.017694338641124702,0.4855414030318981,0.4313,20000,66000,66000,6000,0
