chain_id,nparticles,dim,scale,eta,alpha,energy,std_error,variance,scaled_energy,scaled_std_error,scaled_variance,accept_rate,nsamples,total_cycles,tuning_cycles,optimize_cycles,warmup_cycles
2,10,3,0.25937424601000014,0.01,0.5250917937653831,15.21215131950822,0.014554916374697762,0.1018065440428586,1.521215131950822,0.014554916374697762,0.1018065440428586,0.3444061279296875,65536,84036,7000,11500,0
3,10,3,0.3107044092953793,0.01,0.49901595102726537,15.17838871780258,0.0006515168638459645,0.0008099626600710508,1.517838871780258,0.0006515168638459645,0.0008099626600710508,0.26373291015625,65536,125536,10000,50000,0
4,10,3,0.23579476910000013,0.01,0.49984784641120467,15.1959694226022,0.0007481914399185085,0.0012528909556976942,1.51959694226022,0.0007481914399185085,0.0012528909556976942,0.409881591796875,65536,121036,6500,49000,0
5,10,3,0.25937424601000014,0.01,0.5001795913163575,15.190993125905079,0.0008266727131282679,0.004148286402312351,1.519099312590508,0.0008266727131282679,0.004148286402312351,0.3628997802734375,65536,112036,7000,39500,0
6,10,3,0.3138428376721002,0.01,0.49987817371392174,15.177281135924106,0.000799067829642192,0.0008740315916497821,1.5177281135924106,0.000799067829642192,0.0008740315916497821,0.261444091796875,65536,118036,9500,43000,0
7,10,3,0.25937424601000014,0.01,0.4980846574626662,15.189077365629055,0.0008936249569743215,0.0011130043189382377,1.5189077365629056,0.0008936249569743215,0.0011130043189382377,0.3601531982421875,65536,123036,7500,50000,0
8,10,3,0.36450000000000005,0.01,0.4976615043959728,15.170791714511807,0.0008397658820613012,0.0007050051026169513,1.5170791714511807,0.0008397658820613012,0.0007050051026169513,0.179595947265625,65536,119036,3500,50000,0
9,10,3,0.28531167061100016,0.01,0.49990099950254313,15.183199345407724,0.0007395778055891235,0.0009690462306934933,1.5183199345407723,0.0007395778055891235,0.0009690462306934933,0.30682373046875,65536,120036,8500,46000,0
10,10,3,0.28531167061100016,0.01,0.49936170123621715,15.184568410469831,0.000698224230454158,0.0009315859858816111,1.5184568410469832,0.000698224230454158,0.0009315859858816111,0.3011474609375,65536,123036,7500,50000,0
11,10,3,0.28531167061100016,0.01,0.49876519431238725,15.183492840896983,0.0007118381326943022,0.0009055604222396596,1.5183492840896984,0.0007118381326943022,0.0009055604222396596,0.30462646484375,65536,124536,9000,50000,0
12,10,3,0.25937424601000014,0.01,0.5016072932381733,15.191779424714772,0.0012617342777879398,0.001941408691493507,1.5191779424714773,0.0012617342777879398,0.001941408691493507,0.3595733642578125,65536,111036,7500,38000,0
13,10,3,0.25937424601000014,0.01,0.4996311819986489,15.189957995818311,0.0006943211869512173,0.0010278035917679063,1.518995799581831,0.0006943211869512173,0.0010278035917679063,0.3605194091796875,65536,121536,7000,49000,0
14,10,3,0.25937424601000014,0.01,0.501156349881948,15.188235894087882,0.0009874712523182479,0.0015367456516059974,1.5188235894087883,0.0009874712523182479,0.0015367456516059974,0.3626861572265625,65536,109536,7000,37000,0
15,10,3,0.25937424601000014,0.01,0.4992367477769782,15.191603390971727,0.0007602478836072,0.0012900226066676623,1.5191603390971726,0.0007602478836072,0.0012900226066676623,0.3596038818359375,65536,121536,7500,48500,0
16,10,3,0.28531167061100016,0.01,0.5011385975412089,15.184143432735263,0.0011409620128036858,0.001512331368218156,1.5184143432735264,0.0011409620128036858,0.001512331368218156,0.311737060546875,65536,112036,8500,38000,0
