chain_id,nparticles,dim,scale,eta,alpha,energy,std_error,variance,scaled_energy,scaled_std_error,scaled_variance,accept_rate,nsamples,total_cycles,tuning_cycles,optimize_cycles,warmup_cycles
13,100,3,0.09801000000000003,0.01,0.49985692439050017,149.99387166450447,0.0007365279497396207,2.5515320885460824e-05,1.4999387166450446,0.0007365279497396207,2.5515320885460824e-05,0.285400390625,8192,68192,10000,50000,0
14,100,3,0.10566556110000007,0.01,0.4997310996980531,149.99606471357117,0.0020065935163298093,0.0001440493288100697,1.4999606471357116,0.0020065935163298093,0.0001440493288100697,0.213623046875,8192,68192,10000,50000,0
15,100,3,0.08910000000000001,0.01,0.5009289010609357,149.99502227174156,0.0204564947852463,0.007701904458372155,1.4999502227174155,0.0204564947852463,0.007701904458372155,0.304443359375,8192,68192,10000,50000,0
16,100,3,0.05929605000000003,0.01,0.5000154385713469,149.9992046453645,0.0003067963391753486,3.3675751183182e-06,1.499992046453645,0.0003067963391753486,3.3675751183182e-06,0.5062255859375,8192,68192,10000,50000,0
1,100,3,0.09605960100000005,0.01,0.5039851520502685,149.98191664466907,0.0444096616644403,0.07450229234382277,1.4998191664466907,0.0444096616644403,0.07450229234382277,0.26397705078125,16384,76384,10000,50000,0
2,100,3,0.08558910449100006,0.01,0.4994622142566442,150.0215079159443,0.008837478929268889,0.0030827361333649606,1.500215079159443,0.008837478929268889,0.0030827361333649606,0.3023681640625,16384,76384,10000,50000,0
3,100,3,0.09801000000000003,0.01,0.5006089997285831,150.0002146017281,0.0034039727341350855,0.0008731032248761039,1.500002146017281,0.0034039727341350855,0.0008731032248761039,0.2503662109375,16384,76384,10000,50000,0
4,100,3,0.07144929000000003,0.01,0.5003205431938428,149.98351015616424,0.007118941169291828,0.0019766476543736644,1.4998351015616425,0.007118941169291828,0.0019766476543736644,0.39422607421875,16384,76384,10000,50000,0
5,100,3,0.10781100000000006,0.01,0.49997650432261564,149.999638584884,0.00012885352725935936,6.783120625186712e-07,1.4999963858488399,0.00012885352725935936,6.783120625186712e-07,0.19696044921875,16384,76384,10000,50000,0
6,100,3,0.10460890548900006,0.01,0.49942993927765134,150.0087336174684,0.005039102936071052,0.0010412582669232506,1.500087336174684,0.005039102936071052,0.0010412582669232506,0.21240234375,16384,76384,10000,50000,0
