chain_id,nparticles,dim,dt,eta,alpha,energy,std_error,variance,scaled_energy,scaled_std_error,scaled_variance,accept_rate,nsamples,total_cycles,tuning_cycles,optimize_cycles,warmup_cycles
13,100,3,0.40701374693419873,0.01,0.5003493452865062,149.98203048654892,0.001509518081316046,0.00010854869469767436,1.4998203048654892,0.001509518081316046,0.00010854869469767436,0.46240234375,4096,64096,10000,50000,0
14,100,3,0.4432379704113424,0.01,0.5012165363154701,149.92954114234212,0.008355920674355229,0.0026655265282897744,1.4992954114234212,0.008355920674355229,0.0026655265282897744,0.463134765625,4096,64096,10000,50000,0
15,100,3,0.40701374693419873,0.01,0.5012038533961294,149.99294094193434,0.006891240345432083,0.0019403234509809408,1.4999294094193434,0.006891240345432083,0.0019403234509809408,0.2529296875,4096,64096,10000,50000,0
16,100,3,0.49248663379038043,0.01,0.49902117025051196,150.05284421014008,0.004573662619177577,0.0008434655246674083,1.500528442101401,0.004573662619177577,0.0008434655246674083,0.345458984375,4096,64096,10000,50000,0
1,100,3,0.4432379704113424,0.01,0.5009243965023916,149.95880204342095,0.004860167197022507,0.0012375951919239014,1.4995880204342094,0.004860167197022507,0.0012375951919239014,0.3931884765625,8192,68192,10000,50000,0
2,100,3,0.40701374693419873,0.01,0.49991981716484296,150.00454807374535,0.0004974918855692939,1.1091156920883805e-05,1.5000454807374535,0.0004974918855692939,1.1091156920883805e-05,0.4390869140625,8192,68192,10000,50000,0
3,100,3,0.40701374693419873,0.01,0.49990558791184614,150.0021507969094,0.0010286678089443746,2.4170749384211376e-05,1.500021507969094,0.0010286678089443746,2.4170749384211376e-05,0.2979736328125,8192,68192,10000,50000,0
4,100,3,0.4432379704113424,0.01,0.4994051685356432,150.03041738450008,0.0032588690092230322,0.0004750449334096629,1.500304173845001,0.0032588690092230322,0.0004750449334096629,0.3321533203125,8192,68192,10000,50000,0
5,100,3,0.36631237224077884,0.01,0.5001148872688932,149.9964050615626,0.000634034312442068,1.943049210240133e-05,1.499964050615626,0.000634034312442068,1.943049210240133e-05,0.5401611328125,8192,68192,10000,50000,0
6,100,3,0.40701374693419873,0.01,0.4994488544809766,150.028611868083,0.0020033942108832583,0.00035334630956640467,1.50028611868083,0.0020033942108832583,0.00035334630956640467,0.4744873046875,8192,68192,10000,50000,0
7,100,3,0.36631237224077884,0.01,0.5006613731563847,149.98369414438775,0.00445564477196712,0.0009478242027398665,1.4998369414438775,0.00445564477196712,0.0009478242027398665,0.478759765625,8192,68192,10000,50000,0
8,100,3,0.40701374693419873,0.01,0.5007644119354255,149.96298546469967,0.003290990242172517,0.000883363598404685,1.4996298546469966,0.003290990242172517,0.000883363598404685,0.5059814453125,8192,68192,10000,50000,0
9,100,3,0.49248663379038043,0.01,0.49935321658800824,150.04304964717096,0.0026162405508556447,0.00036634972275351174,1.5004304964717097,0.0026162405508556447,0.00036634972275351174,0.3349609375,8192,68192,10000,50000,0
10,100,3,0.40701374693419873,0.01,0.4997818872742427,150.00629298075606,0.0016174013023410223,0.00010889717668760568,1.5000629298075605,0.0016174013023410223,0.00010889717668760568,0.3321533203125,8192,68192,10000,50000,0
11,100,3,0.36631237224077884,0.01,0.5006535454236356,149.96989351747945,0.003708196059557475,0.0007175335740612354,1.4996989351747945,0.003708196059557475,0.0007175335740612354,0.458740234375,8192,68192,10000,50000,0
12,100,3,0.33637499746627997,0.01,0.49974909343156665,150.01105709237197,0.001660104315696822,0.00013692360880668275,1.5001105709237197,0.001660104315696822,0.00013692360880668275,0.618408203125,8192,68192,10000,50000,0
13,100,3,0.49248663379038043,0.01,0.5005645713618286,149.97294631868795,0.001883701546943432,0.00031758058321429417,1.4997294631868794,0.001883701546943432,0.00031758058321429417,0.2899169921875,8192,68192,10000,50000,0
14,100,3,0.49248663379038043,0.01,0.49852635760237135,150.06732771758072,0.008480473645939205,0.0030011156959517393,1.5006732771758073,0.008480473645939205,0.0030011156959517393,0.2335205078125,8192,68192,10000,50000,0
15,100,3,0.36631237224077884,0.01,0.49933710149651095,150.02365898796245,0.003678044403014887,0.0006148601278255228,1.5002365898796244,0.003678044403014887,0.0006148601278255228,0.568603515625,8192,68192,10000,50000,0
16,100,3,0.40701374693419873,0.01,0.5006907561384478,149.97150652870133,0.003849768183768646,0.0006546531149069779,1.4997150652870133,0.003849768183768646,0.0006546531149069779,0.4520263671875,8192,68192,10000,50000,0
1,100,3,0.40701374693419873,0.01,0.49903655050434254,150.04199703197276,0.0031370217641223767,0.0012358572530501988,1.5004199703197276,0.0031370217641223767,0.0012358572530501988,0.44366455078125,16384,76384,10000,50000,0
2,100,3,0.36631237224077884,0.01,0.501054352640671,149.95855530972162,0.004759120139085857,0.0021963519538985565,1.4995855530972162,0.004759120139085857,0.0021963519538985565,0.52362060546875,16384,76384,10000,50000,0
